subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD002,gru,42,30,130,y_pred,50.0,0.2972972972972973,0.015444015444015444,0.05791505791505792,0.003861003861003861,0.956911196911197,0.33976833976833976,0.6171428571428571,mean
FD002,gru,43,30,130,y_pred,10.0,0.06177606177606178,0.023166023166023165,0.04633204633204633,0.17374517374517376,4.001312741312742,0.08494208494208494,3.9163706563706566,mean
FD002,gru,43,30,130,y_pred,20.0,0.18146718146718147,0.007722007722007722,0.03088803088803089,0.05791505791505792,1.6497297297297298,0.20463320463320464,1.445096525096525,mean
FD002,gru,43,30,130,y_pred,30.0,0.23166023166023167,0.011583011583011582,0.015444015444015444,0.015444015444015444,0.6962934362934362,0.23552123552123552,0.46077220077220077,mean
FD002,gru,43,30,130,y_pred,50.0,0.3204633204633205,0.015444015444015444,0.03474903474903475,0.0,0.6701158301158301,0.33976833976833976,0.33034749034749034,mean
FD002,gru,44,30,130,y_pred,10.0,0.08494208494208494,0.023166023166023165,0.023166023166023165,0.15057915057915058,3.329189189189189,0.08494208494208494,3.2442471042471044,mean
FD002,gru,44,30,130,y_pred,20.0,0.17374517374517376,0.007722007722007722,0.03861003861003861,0.06177606177606178,1.7958301158301158,0.20463320463320464,1.5911969111969113,mean
FD002,gru,44,30,130,y_pred,30.0,0.23166023166023167,0.007722007722007722,0.011583011583011582,0.011583011583011582,0.5795366795366795,0.23552123552123552,0.344015444015444,mean
FD002,gru,44,30,130,y_pred,50.0,0.3474903474903475,0.03861003861003861,0.03088803088803089,0.0,0.6666409266409267,0.33976833976833976,0.3268725868725869,mean
FD002,gru_safety_mse,42,30,130,y_pred,10.0,0.09652509652509653,0.03088803088803089,0.019305019305019305,0.138996138996139,3.0710424710424715,0.08494208494208494,2.9861003861003863,mean
FD002,gru_safety_mse,42,30,130,y_pred,20.0,0.1969111969111969,0.011583011583011582,0.019305019305019305,0.04247104247104247,1.2406949806949807,0.20463320463320464,1.036061776061776,mean
FD002,gru_safety_mse,42,30,130,y_pred,30.0,0.2548262548262548,0.02702702702702703,0.007722007722007722,0.007722007722007722,0.4911196911196911,0.23552123552123552,0.2555984555984556,mean
FD002,gru_safety_mse,42,30,130,y_pred,50.0,0.38996138996138996,0.06563706563706563,0.015444015444015444,0.0,0.5624710424710425,0.33976833976833976,0.2227027027027027,mean
FD002,gru_safety_mse,43,30,130,y_pred,10.0,0.07722007722007722,0.023166023166023165,0.03088803088803089,0.1583011583011583,3.5531274131274126,0.08494208494208494,3.4681853281853283,mean
FD002,gru_safety_mse,43,30,130,y_pred,20.0,0.18532818532818532,0.011583011583011582,0.03088803088803089,0.05405405405405406,1.5766023166023166,0.20463320463320464,1.3719691119691122,mean
FD002,gru_safety_mse,43,30,130,y_pred,30.0,0.23938223938223938,0.011583011583011582,0.007722007722007722,0.007722007722007722,0.47196911196911195,0.23552123552123552,0.23644787644787643,mean
FD002,gru_safety_mse,43,30,130,y_pred,50.0,0.3667953667953668,0.04247104247104247,0.015444015444015444,0.0,0.5322779922779923,0.33976833976833976,0.19250965250965252,mean
FD002,gru_safety_mse,44,30,130,y_pred,10.0,0.10038610038610038,0.03088803088803089,0.015444015444015444,0.13513513513513514,2.9592277992277993,0.08494208494208494,2.8742857142857146,mean
FD002,gru_safety_mse,44,30,130,y_pred,20.0,0.20077220077220076,0.015444015444015444,0.019305019305019305,0.03861003861003861,1.167799227799228,0.20463320463320464,0.9631660231660232,mean
FD002,gru_safety_mse,44,30,130,y_pred,30.0,0.25096525096525096,0.023166023166023165,0.007722007722007722,0.007722007722007722,0.4863320463320463,0.23552123552123552,0.25081081081081086,mean
FD002,gru_safety_mse,44,30,130,y_pred,50.0,0.36293436293436293,0.04633204633204633,0.023166023166023165,0.0,0.6091891891891892,0.33976833976833976,0.26942084942084943,mean
FD002,random_forest,42,30,130,y_pred,10.0,0.04633204633204633,0.011583011583011582,0.05019305019305019,0.1891891891891892,4.332586872586872,0.08494208494208494,4.247644787644787,mean
FD002,random_forest,42,30,130,y_pred,20.0,0.16988416988416988,0.003861003861003861,0.03861003861003861,0.06563706563706563,1.8689575289575289,0.20463320463320464,1.6643243243243244,mean
FD002,random_forest,42,30,130,y_pred,30.0,0.21235521235521235,0.0,0.023166023166023165,0.023166023166023165,0.9073359073359073,0.23552123552123552,0.6718146718146718,mean
FD002,random_forest,42,30,130,y_pred,50.0,0.30115830115830117,0.03088803088803089,0.0694980694980695,0.007722007722007722,1.1575289575289576,0.33976833976833976,0.8177606177606178,mean
