subset,feature,importance_mean,importance_std
FD001,sensor_12_delta,0.0002237645991182797,2.1537521466946264e-05
FD001,sensor_3_last,0.00022314552882235486,1.972828844685654e-05
FD001,sensor_20_last,0.00021961274830982098,1.990591596838797e-05
FD001,sensor_20_delta,0.0002188405758098479,3.675062987659119e-05
FD001,sensor_6_std,0.0001935372538480608,5.7009843451867204e-05
FD001,sensor_11_delta,0.00019307468542968195,2.0448808206799694e-05
FD001,setting_1_delta,0.00019024637943211415,2.0807786366121165e-05
FD001,setting_1_last,0.00018635962875599959,1.7905933732369495e-05
FD001,sensor_13_delta,0.0001838486364055305,1.5419921768329802e-05
FD001,sensor_8_delta,0.00016711250621877913,1.9427314823675934e-05
FD001,sensor_6_mean,0.0001586042216662211,3.3367440033489925e-05
FD001,sensor_8_last,0.00015839303983220115,2.456701703423279e-05
FD001,sensor_13_last,0.00015590221844119425,1.9378889796833585e-05
FD001,setting_2_delta,0.0001260486709741213,1.0907863927677285e-05
FD001,setting_2_last,0.00010802158248763111,1.2888233894893444e-05
FD001,sensor_17_delta,7.337519205210916e-05,4.7539937611505265e-06
FD001,sensor_17_last,6.0685953787860363e-05,7.20340292140287e-06
FD001,sensor_6_delta,2.254092753029674e-06,1.0429101344053249e-06
FD001,sensor_6_last,2.623871191866356e-07,1.6378506972339784e-07
FD003,sensor_3_mean,0.45965385305236195,0.1753913525929056
FD003,sensor_9_slope,0.13383619715787753,0.010307466129680965
FD003,sensor_11_last,0.12940331298388028,0.17749057551717504
FD003,sensor_11_slope,0.051925351948287034,0.00487547241217154
FD003,sensor_12_slope,0.043864260651940955,0.009150205614082684
FD003,sensor_8_slope,0.018919043796535504,0.0018946456600211954
FD003,sensor_4_mean,0.015062779549125785,0.011072440237996957
FD003,sensor_14_slope,0.01222637191765488,0.006760851863640562
FD003,sensor_17_mean,0.0118766359989467,0.0028409750414461915
FD003,sensor_4_slope,0.01012170391986996,0.0033549428109782287
FD003,sensor_13_slope,0.009099931174968821,0.001823337976917361
FD003,sensor_9_mean,0.008272568772358144,0.0018622320845751606
FD003,sensor_7_slope,0.00781146468374106,0.003009777967055134
FD003,sensor_11_mean,0.006377554035653275,0.006796641778112974
FD003,sensor_9_std,0.0038793438507234747,0.0011182119221304007
FD003,sensor_14_mean,0.003565444939410733,0.000964128459817493
FD003,sensor_12_std,0.003409906865958026,8.027477877575517e-05
FD003,sensor_2_mean,0.0033155753138731855,0.0012880327040353848
FD003,sensor_8_std,0.0029955500095757187,0.0005022924182087266
FD003,sensor_13_std,0.002990221738549277,0.0006366542383987284
FD003,sensor_21_slope,0.0027732071834945075,0.0010891649952812828
FD003,sensor_6_mean,0.002740356704486019,0.0010939460550827536
FD003,sensor_15_slope,0.0026147980102538006,0.0008032490456642589
FD003,sensor_8_mean,0.002592359533496876,0.0014041784338007463
FD003,sensor_7_std,0.002538144557150343,0.0006359413838238929
FD003,sensor_13_mean,0.0024610447467235718,0.000996062377791761
FD003,sensor_14_std,0.0022729413809985874,0.00022390507041397816
FD003,sensor_21_std,0.0020761498012470086,0.0003749527455550646
FD003,sensor_17_std,0.0020574531430869263,0.000439940045963292
FD003,sensor_11_std,0.0020468501333338585,0.00040299951553091485
FD003,sensor_7_mean,0.001985460330985359,0.0006339929553007058
FD003,sensor_20_mean,0.001963163944632609,0.00038474062087889794
FD003,sensor_15_mean,0.00193032422277329,0.0001758345649934924
FD003,sensor_2_slope,0.0018933432095435757,0.000394310444896582
