subset,model,lead_time,policy,maintenance_rate_mean,maintenance_rate_std,early_maintenance_rate_mean,early_maintenance_rate_std,late_maintenance_rate_mean,late_maintenance_rate_std,missed_critical_rate_mean,missed_critical_rate_std,expected_cost_mean,expected_cost_std,oracle_expected_cost_mean,oracle_expected_cost_std,decision_regret_mean,decision_regret_std
FD001,random_forest,10.0,mean,0.04666666666666667,0.005773502691896259,0.0,0.0,0.023333333333333334,0.005773502691896256,0.20333333333333334,0.005773502691896247,4.346666666666667,0.16743157806499148,0.07,0.0,4.276666666666666,0.16743157806499148
FD001,random_forest,20.0,mean,0.12666666666666668,0.01527525231651947,0.013333333333333334,0.005773502691896258,0.04666666666666667,0.011547005383792512,0.12333333333333334,0.015275252316519475,3.0602666666666667,0.4010436551465854,0.16,0.0,2.9002666666666665,0.4010436551465852
FD001,random_forest,30.0,mean,0.20666666666666667,0.005773502691896239,0.01,0.0,0.05333333333333334,0.005773502691896255,0.05333333333333334,0.005773502691896255,1.8082666666666665,0.16743157806499126,0.25,0.0,1.5582666666666667,0.16743157806499148
FD001,random_forest,50.0,mean,0.3033333333333333,0.0057735026918962675,0.02,0.0,0.04666666666666667,0.005773502691896258,0.0,0.0,0.7808,0.051961524227066305,0.33,0.0,0.45080000000000003,0.051961524227066326
FD001,ridge,10.0,mean,0.06666666666666667,0.005773502691896261,0.0,0.0,0.0033333333333333335,0.005773502691896258,0.18333333333333335,0.005773502691896267,3.766666666666667,0.16743157806499148,0.07,0.0,3.6966666666666668,0.16743157806499148
FD001,ridge,20.0,mean,0.10000000000000002,0.0,0.0,0.0,0.06,0.0,0.15,0.0,3.7000000000000006,0.0,0.16,0.0,3.5400000000000005,0.0
FD001,ridge,30.0,mean,0.14,0.0,0.0,0.0,0.11,0.0,0.11,0.0,3.44,0.0,0.25,0.0,3.19,0.0
FD001,ridge,50.0,mean,0.26,0.010000000000000009,0.0,0.0,0.07,0.010000000000000005,0.0,0.0,0.96,0.09,0.33,0.0,0.63,0.08999999999999997
FD001,tcn,10.0,mean,0.05333333333333334,0.02081665999466133,0.006666666666666667,0.005773502691896258,0.023333333333333334,0.015275252316519466,0.19666666666666666,0.020816659994661344,4.220133333333333,0.547702486148578,0.07,0.0,4.150133333333333,0.547702486148578
FD001,tcn,20.0,mean,0.15333333333333332,0.005773502691896261,0.013333333333333334,0.005773502691896258,0.02,0.0,0.10333333333333333,0.005773502691896256,2.4225333333333334,0.11371056825701555,0.16,0.0,2.2625333333333333,0.1137105682570154
FD001,tcn,30.0,mean,0.19666666666666668,0.005773502691896261,0.01,0.0,0.06333333333333334,0.005773502691896264,0.06333333333333334,0.005773502691896264,2.0982666666666665,0.16743157806499148,0.25,0.0,1.8482666666666667,0.16743157806499126
FD001,tcn,50.0,mean,0.30666666666666664,0.015275252316519486,0.02,0.0,0.043333333333333335,0.015275252316519466,0.006666666666666667,0.005773502691896258,0.8811333333333334,0.2371356854910988,0.33,0.0,0.5511333333333334,0.23713568549109879
FD002,gradient_boosting,10.0,mean,0.059202059202059204,0.004458303236985526,0.030888030888030892,0.0066874548554782896,0.056628056628056624,0.005897780817188986,0.17631917631917635,0.0044583032369855165,4.154774774774775,0.11173033609257199,0.08494208494208494,0.0,4.06983268983269,0.11173033609257167
FD002,gradient_boosting,20.0,mean,0.138996138996139,0.0038610038610038533,0.0038610038610038615,0.0,0.0694980694980695,0.003861003861003867,0.1003861003861004,0.0038610038610038585,2.8425482625482625,0.11196911196911197,0.20463320463320464,0.0,2.637915057915058,0.11196911196911197
FD002,gradient_boosting,30.0,mean,0.2007722007722008,0.003861003861003874,0.01673101673101673,0.002229151618492763,0.05148005148005148,0.00445830323698553,0.05148005148005148,0.00445830323698553,1.7486743886743887,0.12987024320208557,0.23552123552123552,0.0,1.5131531531531532,0.1298702432020857
FD002,gradient_boosting,50.0,mean,0.30115830115830117,0.006687454855478277,0.02702702702702703,0.0,0.06563706563706563,0.006687454855478292,0.010296010296010296,0.002229151618492763,1.1672329472329475,0.10477012606915996,0.33976833976833976,0.0,0.8274646074646075,0.10477012606915992
FD002,gru,10.0,mean,0.06563706563706563,0.01769334245156695,0.01673101673101673,0.011145758092463817,0.036036036036036036,0.011795561634377966,0.16988416988416988,0.01769334245156694,3.8244787644787643,0.4347389946514811,0.08494208494208494,0.0,3.739536679536679,0.43473899465148086
