subset,model,seed,window_size,max_rul,critical_threshold_checked,critical_count,critical_rmse,critical_mae,critical_overestimation_ratio,critical_overestimation_magnitude
FD003,gru_safety_mse,43,30,130,50.0,29,13.559622209147571,9.185201196551724,0.6206896551724138,6.003274758620689
FD003,gru_safety_mse,43,30,130,70.0,47,17.65557172437382,12.620225185106385,0.6170212765957447,8.743964191489363
FD003,gru_safety_mse,44,30,130,20.0,14,2.1935397379436394,1.7057063142857147,0.7142857142857143,1.0765109714285717
FD003,gru_safety_mse,44,30,130,30.0,20,2.7118170276668825,2.1376228700000004,0.65,0.9922614300000003
FD003,gru_safety_mse,44,30,130,50.0,29,4.597244467898962,3.264711013793104,0.5172413793103449,1.2000071931034484
FD003,gru_safety_mse,44,30,130,70.0,47,10.542149142976674,6.113578753191491,0.5531914893617021,3.9271159063829777
FD003,lstm,42,30,130,20.0,14,5.9672691365148225,3.9502356,0.35714285714285715,2.52952725
FD003,lstm,42,30,130,30.0,20,5.925877053904663,3.960595869999999,0.4,2.4600718749999997
FD003,lstm,42,30,130,50.0,29,5.334795293543805,3.7150535999999996,0.4827586206896552,2.229747775862069
FD003,lstm,42,30,130,70.0,47,8.335911761132486,5.49122575319149,0.5319148936170213,3.9728972872340416
FD003,lstm,43,30,130,20.0,14,4.488106235285063,3.6216105357142854,0.7857142857142857,3.047577928571428
FD003,lstm,43,30,130,30.0,20,4.816753879245094,3.938374275,0.75,3.3971753
FD003,lstm,43,30,130,50.0,29,5.315501743342959,4.273168396551725,0.6206896551724138,2.8893681379310348
FD003,lstm,43,30,130,70.0,47,14.466004064256918,8.572826457446807,0.6808510638297872,7.3160312765957425
FD003,lstm,44,30,130,20.0,14,4.702404761388755,3.3490575642857143,0.5,1.7076618357142856
FD003,lstm,44,30,130,30.0,20,4.855075973267802,3.7589086449999995,0.45,1.8937547349999995
FD003,lstm,44,30,130,50.0,29,4.624056325149005,3.682870272413793,0.3793103448275862,1.6308079206896553
FD003,lstm,44,30,130,70.0,47,11.968588993795903,7.570166891489361,0.5106382978723404,5.6681017595744665
FD003,random_forest,42,30,130,20.0,14,2.4760569882668704,1.9856498402391252,0.6428571428571429,1.3648458908816046
FD003,random_forest,42,30,130,30.0,20,3.789266713718427,2.8756876262626276,0.65,2.0453761844636866
FD003,random_forest,42,30,130,50.0,29,4.701058066606678,3.6432848891210976,0.6206896551724138,2.443472947869501
FD003,random_forest,42,30,130,70.0,47,10.893532433375315,6.853186341633151,0.6595744680851063,5.654631008668242
FD003,random_forest,43,30,130,20.0,14,2.8094252752622175,2.2232702621452614,0.7142857142857143,1.6894886105957523
FD003,random_forest,43,30,130,30.0,20,3.003771029058878,2.488258032708032,0.7,1.7578705327080328
FD003,random_forest,43,30,130,50.0,29,4.83973900485132,3.5730871315785087,0.6896551724137931,2.466175482244447
FD003,random_forest,43,30,130,70.0,47,10.066989374606194,6.4534384217043765,0.6382978723404256,4.993314228915289
FD003,random_forest,44,30,130,20.0,14,2.1362096834820172,1.580221500721499,0.7142857142857143,1.1185638098673798
